,тема,текст
1177,перфоратор аккумуляторный," 'Здравствуйте, сколько стоит аренда аккумуляторного перфоратора на сутки, нужен для дачи?'"
1178,перфоратор аккумуляторный," 'Добрый день, подскажите, есть ли у вас перфоратор на аккумуляторе в наличии, нужно для мелкого ремонта?'"
1179,перфоратор аккумуляторный," 'Здравствуйте, интересует аренда аккумуляторного перфоратора, нужно сверлить бетон, сколько стоит?'"
1180,перфоратор аккумуляторный," 'Добрый вечер, можно ли арендовать перфоратор на аккумуляторе для работы в труднодоступных местах?'"
1181,перфоратор аккумуляторный," 'Здравствуйте, нужен аккумуляторный перфоратор для земляных работ, сколько будет стоить аренда на день?'"
1182,перфоратор аккумуляторный," 'Добрый день, подскажите, есть ли у вас перфоратор на аккумуляторе в аренду, нужно для отделочных работ?'"
1183,воздуходувка,"'Привет, нужна воздуходувка на выходные, чтобы убрать листву на участке, сколько стоит аренда',  
'Здравствуйте, есть ли у вас в прокате воздуходувка, нужно сдуть опилки после шлифовки пола',  
'Добрый день, подскажите стоимость аренды воздуходувки на день, надо очистить двор после стройки',  
'Здравствуйте, ищу мощную воздуходувку для уборки снега с крыши, есть у вас такие',  
'Привет, воздуходувка нужна на пару часов, чтобы продуть систему вентиляции в гараже, какие условия',  
'Добрый вечер, сколько стоит взять воздуходувку на сутки, надо убрать мусор после обрезки деревьев',  
'Здравствуйте, есть ли воздуходувка с функцией пылесоса, нужно убрать листья и мелкий мусор',  
'Добрый день, нужна воздуходувка для очистки стройплощадки от пыли и опилок, какие варианты',  
'Привет, можно ли арендовать воздуходувку на сегодня, надо быстро убрать территорию перед приездом гостей',  
'Здравствуйте, интересует аренда воздуходувки на неделю для уборки большого садового участка, какая цена'"
1184,детектор проводки,"'Здравствуйте, нужно найти проводку в стене, есть ли у вас детектор в аренду?'"
1185,детектор проводки," 'Добрый день, подскажите, сколько стоит аренда детектора проводки на сутки?'"
1186,детектор проводки," 'Здравствуйте, планирую ремонт, нужен детектор проводки, есть ли он у вас?'"
1187,детектор проводки," 'Добрый вечер, ищу детектор проводки для работы в квартире, какие условия аренды?'"
1188,детектор проводки," 'Здравствуйте, нужно проверить стены перед сверлением, есть ли у вас детектор проводки?'"
1189,детектор проводки," 'Добрый день, интересует аренда детектора проводки на выходные, сколько это будет стоить?'"
1190,детектор проводки," 'Здравствуйте, планирую повесить полки, нужен детектор проводки, есть ли он у вас в наличии?'"
1191,детектор проводки," 'Добрый вечер, подскажите, можно ли сегодня арендовать детектор проводки?'"
1192,детектор проводки," 'Здравствуйте, нужно найти скрытую проводку в доме, есть ли у вас подходящий детектор?'"
1193,детектор проводки," 'Добрый день, интересует аренда детектора проводки на один день, какая стоимость?'"
1194,удлинитель электричексий,"'Привет, нужен удлинитель метров на 30 для стройки, есть у вас в прокате?'"
1195,удлинитель электричексий,"  
'Здравствуйте, сколько стоит взять удлинитель на выходные для дачи?'"
1196,удлинитель электричексий,"  
'Добрый день, ищу удлинитель с заземлением для подключения бетономешалки'"
1197,удлинитель электричексий,"  
'Есть удлинитель на катушке метров 50? Нужно подключить инструменты на высоте'"
1198,удлинитель электричексий,"  
'Здравствуйте, нужен мощный удлинитель для сварочного аппарата на пару дней'"
1199,удлинитель электричексий,"  
'Добрый вечер, можно взять в аренду удлинитель с защитой от влаги для улицы?'"
1200,удлинитель электричексий,"  
'Привет, есть удлинитель с тройником? Нужно подключить сразу три инструмента'"
1201,удлинитель электричексий,"  
'Здравствуйте, сколько стоит удлинитель на сутки для ремонта в квартире?'"
1202,удлинитель электричексий,"  
'Добрый день, нужен длинный удлинитель для подключения насоса во дворе'"
1203,удлинитель электричексий,"  
'Есть в наличии удлинитель с толстым кабелем? Будем тянуть к электроинструменту'"
1204,лестница-трансформер,"'Здравствуйте, нужна лестница-трансформер для покраски потолка, на сколько можно арендовать?'"
1205,лестница-трансформер," 'Добрый день, подскажите, есть ли в наличии лестница-трансформер для высотных работ?'"
1206,лестница-трансформер," 'Здравствуйте, хочу арендовать лестницу-трансформер для монтажа люстры, сколько стоит?'"
1207,лестница-трансформер," 'Добрый вечер, нужна лестница-трансформер для работ на даче, какие условия аренды?'"
1208,лестница-трансформер," 'Здравствуйте, сколько будет стоить аренда лестницы-трансформер на два дня?'"
1209,лестница-трансформер," 'Добрый день, нужна лестница-трансформер для ремонта фасада, есть ли в наличии?'"
1210,лестница-трансформер," 'Здравствуйте, подскажите стоимость аренды лестницы-трансформер на сутки'"
1211,лестница-трансформер," 'Добрый день, нужна лестница-трансформер для обрезки деревьев, можно ли арендовать сегодня?'"
1212,лестница-трансформер," 'Здравствуйте, есть ли в наличии лестница-трансформер для высотных работ на завтра?'"
1213,лестница-трансформер," 'Добрый вечер, сколько стоит аренда лестницы-трансформер на неделю?'"
1214,пушка электрическая,"'Здравствуйте, нужна электрическая пушка для прогрева помещения на даче, сколько стоит аренда на день?'"
1215,пушка электрическая," 'Добрый день, подскажите, есть ли у вас в аренду электрическая тепловая пушка?'"
1216,пушка электрическая," 'Здравствуйте, сколько будет стоить аренда электрической пушки на выходные?'"
1217,пушка электрическая," 'Добрый вечер, можно ли взять в прокат электрическую пушку для сушки стен после штукатурки?'"
1218,пушка электрическая," 'Здравствуйте, интересует аренда электрической тепловой пушки на пару дней, какие условия?'"
1219,пушка электрическая," 'Добрый день, нужна электрическая пушка для прогрева гаража, есть ли у вас такая?'"
1220,пушка электрическая," 'Здравствуйте, сколько стоит аренда электрической пушки на сутки?'"
1221,пушка электрическая," 'Добрый день, подскажите, можно ли арендовать электрическую тепловую пушку на сегодня?'"
1222,пушка электрическая," 'Здравствуйте, интересует электрическая пушка для обогрева стройплощадки, какие у вас условия аренды?'"
1223,пушка электрическая," 'Добрый вечер, нужна электрическая пушка для прогрева помещения перед поклейкой обоев, сколько будет стоить аренда на день?'"
1224,нейлер пневматический,"'Здравствуйте, нужен пневматический нейлер для обшивки стен вагонкой, сколько стоит аренда на день'"
1225,нейлер пневматический," 'Добрый день, подскажите, есть ли у вас нейлер пневматический в аренду'"
1226,нейлер пневматический," 'Здравствуйте, интересует аренда нейлера пневматического для работы с гипсокартоном'"
1227,нейлер пневматический," 'Добрый вечер, сколько стоит взять нейлер пневматический на выходные'"
1228,нейлер пневматический," 'Здравствуйте, нужен пневматический нейлер для сборки каркаса, какие условия аренды'"
1229,нейлер пневматический," 'Добрый день, подскажите стоимость аренды нейлера пневматического на сутки'"
1230,нейлер пневматический," 'Здравствуйте, интересует аренда пневматического нейлера для работы с деревом'"
1231,нейлер пневматический," 'Добрый вечер, есть ли у вас нейлер пневматический в наличии, хочу взять на день'"
1232,нейлер пневматический," 'Здравствуйте, нужен нейлер пневматический для монтажа плинтусов, сколько стоит аренда'"
1233,нейлер пневматический," 'Добрый день, подскажите, можно ли арендовать нейлер пневматический сегодня после обеда'"
1234,пила дисковая аккумуляторная,"'Привет, нужна аккумуляторная дисковая пила для распиловки досок на даче, есть в наличии?'"
1235,пила дисковая аккумуляторная,"  
'Здравствуйте, сколько стоит аренда аккумуляторной дисковой пилы на выходные?'"
1236,пила дисковая аккумуляторная,"  
'Добрый день, ищу пилу дисковую на батарейках для резки ламината, есть у вас?'"
1237,пила дисковая аккумуляторная,"  
'Здравствуйте, можно взять в аренду дисковую пилу без провода на пару дней?'"
1238,пила дисковая аккумуляторная,"  
'Привет, нужна аккумуляторная пила для обрезки веток в саду, какие условия аренды?'"
1239,пила дисковая аккумуляторная,"  
'Добрый вечер, есть ли у вас в прокате дисковая пила на аккумуляторе для резки фанеры?'"
1240,пила дисковая аккумуляторная,"  
'Здравствуйте, сколько стоит взять дисковую пилу без провода на сутки?'"
1241,пила дисковая аккумуляторная,"  
'Добрый день, нужна аккумуляторная дисковая пила для демонтажа деревянного забора, есть варианты?'"
1242,пила дисковая аккумуляторная,"  
'Привет, ищу пилу дисковую на батарейках для работы на высоте, подскажите стоимость'"
1243,пила дисковая аккумуляторная,"  
'Здравствуйте, можно арендовать аккумуляторную дисковую пилу сегодня на несколько часов?'"
1244,вибратор,"'Здравствуйте, нужен вибратор для бетона на пару дней, сколько стоит аренда',  
'Добрый день, подскажите, есть ли у вас вибратор для укладки бетона, нужно на выходные',  
'Привет, ищу вибратор глубинный, чтобы залить фундамент на даче, какие варианты есть',  
'Здравствуйте, сколько стоит взять вибратор на сутки, нужно для стяжки пола',  
'Добрый вечер, есть ли в наличии вибратор строительный, нужен срочно на завтра',  
'Здравствуйте, интересует аренда вибратора для бетона, какой у вас ассортимент',  
'Привет, нужен вибратор для уплотнения раствора, на пару часов, сколько стоит',  
'Добрый день, вибратор для бетона есть в прокате, и какие условия аренды',  
'Здравствуйте, хочу взять вибратор на день, чтобы залить дорожки во дворе',  
'Привет, есть ли у вас вибратор, нужно для заливки фундамента гаража'"
1245,коронка по бетону,"'Привет, нужна коронка по бетону на 68 мм для подрозетников, есть в наличии?'"
1246,коронка по бетону,"  
'Здравствуйте, ищу коронку по бетону на 100 мм для вентиляции, сколько стоит аренда?'"
1247,коронка по бетону,"  
'Добрый день, надо просверлить отверстие в стене под трубу, есть коронка по бетону на 120 мм?'"
1248,коронка по бетону,"  
'Здравствуйте, срочно нужна коронка по бетону на 65 мм для электромонтажа, можно сегодня забрать?'"
1249,коронка по бетону,"  
'Добрый вечер, есть ли коронка по бетону с алмазным напылением? Нужно сделать несколько отверстий в плитах'"
1250,коронка по бетону,"  
'Привет, ищу коронку по бетону на 80 мм для скрытого монтажа, какие варианты есть?'"
1251,коронка по бетону,"  
'Здравствуйте, нужна коронка по бетону на 50 мм для установки точечных светильников, сколько стоит на сутки?'"
1252,коронка по бетону,"  
'Добрый день, планирую ремонт в ванной, есть коронка по бетону для монтажа смесителя?'"
1253,коронка по бетону,"  
'Привет, ищу коронку по бетону с SDS-хвостовиком, у вас такое есть в прокате?'"
1254,коронка по бетону,"  
'Здравствуйте, нужно сделать отверстия в бетонном полу под коммуникации, есть коронка на 150 мм?'"
1255,пистолет для герметика,"'Здравствуйте, нужен пистолет для герметика на день для заделки швов в ванной'"
1256,пистолет для герметика," 'Добрый день, подскажите, есть ли у вас пистолет для герметика в аренду?'"
1257,пистолет для герметика," 'Здравствуйте, сколько стоит аренда пистолета для герметика на сутки?'"
1258,пистолет для герметика," 'Привет, нужно заделать щели в окнах, есть пистолет для герметика?'"
1259,пистолет для герметика," 'Добрый вечер, нужен пистолет для герметика на выходные для дачи'"
1260,пистолет для герметика," 'Здравствуйте, подскажите стоимость аренды пистолета для герметика?'"
1261,пистолет для герметика," 'Привет, можно взять пистолет для герметика на пару часов?'"
1262,пистолет для герметика," 'Здравствуйте, нужен пистолет для герметика для работы с потолком'"
1263,пистолет для герметика," 'Добрый день, есть ли у вас пистолет для герметика и сколько стоит аренда?'"
1264,пистолет для герметика," 'Здравствуйте, подскажите, можно ли арендовать пистолет для герметика сегодня?'"
1265,домкрат подкатной,"'Привет, нужен подкатной домкрат на пару часов, чтобы колесо поменять, сколько стоит?'"
1266,домкрат подкатной,"  
'Здравствуйте, есть ли у вас в аренду подкатной домкрат на 3 тонны?'"
1267,домкрат подкатной,"  
'Добрый день, интересует подкатной домкрат на выходные, сколько будет стоить?'"
1268,домкрат подкатной,"  
'Здравствуйте, ищу подкатной домкрат для ремонта авто, у вас есть?'"
1269,домкрат подкатной,"  
'Привет, сколько стоит взять подкатной домкрат на сутки?'"
1270,домкрат подкатной,"  
'Добрый вечер, нужен подкатной домкрат, чтобы поднять машину для замены амортизаторов'"
1271,домкрат подкатной,"  
'Здравствуйте, есть ли подкатной домкрат с высотой подъема от 30 см?'"
1272,домкрат подкатной,"  
'Добрый день, хочу арендовать подкатной домкрат на завтра, какие условия?'"
1273,домкрат подкатной,"  
'Привет, у вас можно взять подкатной домкрат на сегодня до вечера?'"
1274,домкрат подкатной,"  
'Здравствуйте, нужен подкатной домкрат на 5 тонн, есть в наличии?'"
1275,шнек для бензобура,"'Здравствуйте, нужен шнек для бензобура диаметром 150 мм, есть в наличии?'"
1276,шнек для бензобура," 'Добрый день, подскажите стоимость аренды шнека для бензобура на сутки'"
1277,шнек для бензобура," 'Здравствуйте, у вас есть шнек для бензобура на 200 мм? Нужен на выходные'"
1278,шнек для бензобура," 'Добрый вечер, сколько будет стоить аренда шнека для бензобура на два дня?'"
1279,шнек для бензобура," 'Здравствуйте, нужен шнек для бензобура, чтобы пробурить скважину на даче'"
1280,шнек для бензобура," 'Добрый день, есть ли в наличии шнек для бензобура диаметром 250 мм?'"
1281,шнек для бензобура," 'Здравствуйте, подскажите, можно ли арендовать шнек для бензобура на сегодня?'"
1282,шнек для бензобура," 'Добрый вечер, нужен шнек для бензобура, чтобы сделать отверстия под столбы'"
1283,шнек для бензобура," 'Здравствуйте, сколько стоит аренда шнека для бензобура на неделю?'"
1284,шнек для бензобура," 'Добрый день, у вас есть шнек для бензобура, чтобы пробурить лунки под посадку деревьев?'"
1285,металлоискатель,"'Привет, нужен металлоискатель на выходные, чтобы поискать монеты на даче, сколько стоит аренда',  
'Здравствуйте, у вас можно взять металлоискатель на пару дней, интересует цена и залог',  
'Добрый день, ищу металлоискатель для поиска арматуры в стене, есть у вас в прокате',  
'Здравствуйте, сколько стоит аренда металлоискателя на сутки, нужно проверить участок перед стройкой',  
'Привет, есть ли у вас металлоискатели в аренду, нужно найти трубу в огороде',  
'Добрый вечер, интересует металлоискатель на день, какие модели у вас есть и цена',  
'Здравствуйте, можно ли взять металлоискатель на сегодня, нужно проверить двор перед копкой',  
'Привет, ищу металлоискатель для поиска клада, есть у вас варианты в прокате',  
'Добрый день, нужен металлоискатель на неделю, сколько будет стоить и какие условия',  
'Здравствуйте, у вас есть металлоискатели в аренду, нужно найти потерянное кольцо в песке'"
1286,рохля,"'Привет, нужна рохля на пару дней, чтобы мебель передвигать в квартире, сколько стоит аренда'"
1287,рохля,"  
'Здравствуйте, есть ли у вас рохля в прокате, нужно разгрузить пару поддонов с плиткой'"
1288,рохля,"  
'Добрый день, подскажите стоимость аренды рохли на сутки, надо перевезти стройматериалы'"
1289,рохля,"  
'Здравствуйте, ищу рохлю для перевозки коробок в офисе, есть у вас такие?'"
1290,рохля,"  
'Привет, нужна рохля на сегодня, чтобы мешки с цементом разгрузить, сколько возьмете?'"
1291,рохля,"  
'Добрый вечер, можно взять рохлю на выходные, надо кирпичи по участку развозить'"
1292,рохля,"  
'Здравствуйте, есть ли рохля с высокой грузоподъемностью, нужно перевезти оборудование'"
1293,рохля,"  
'Привет, сколько стоит рохля на час, надо пару шкафов передвинуть?'"
1294,рохля,"  
'Добрый день, интересует аренда рохли на неделю для стройки, какие условия?'"
1295,рохля,"  
'Здравствуйте, нужна рохля с бортами, чтобы щебень перевозить, есть у вас такие?'"
1296,установка алмазного бурения,"'Здравствуйте, нужно сделать отверстия в бетонной стене, подойдет ли алмазное бурение?'"
1297,установка алмазного бурения," 'Добрый день, интересует аренда оборудования для алмазного бурения на пару дней'"
1298,установка алмазного бурения," 'Привет, планируем монтаж вентиляции, нужна установка для алмазного бурения, есть у вас?'"
1299,установка алмазного бурения," 'Здравствуйте, сколько стоит аренда установки для алмазного бурения на сутки?'"
1300,установка алмазного бурения," 'Добрый вечер, нужно пробурить отверстия в фундаменте, есть ли у вас алмазное бурение?'"
1301,установка алмазного бурения," 'Здравствуйте, интересует стоимость аренды оборудования для алмазного бурения на выходные'"
1302,установка алмазного бурения," 'Привет, нужно пробурить несколько отверстий в железобетоне, есть ли у вас алмазное бурение?'"
1303,установка алмазного бурения," 'Добрый день, подскажите, можно ли арендовать установку для алмазного бурения на сегодня?'"
1304,установка алмазного бурения," 'Здравствуйте, планируем ремонт, нужно алмазное бурение для прокладки коммуникаций, есть у вас?'"
1305,установка алмазного бурения," 'Добрый вечер, интересует аренда оборудования для алмазного бурения на завтра, сколько будет стоить?'"
1306,триммер аккумуляторный,"'Здравствуйте, нужен аккумуляторный триммер для покоса травы на даче, сколько стоит аренда на выходные'  
'Добрый день, ищу триммер аккумуляторный, чтобы подровнять газон во дворе, есть в наличии'  
'Привет, сколько стоит взять триммер на батарейках на пару дней, нужно обработать участок 6 соток'  
'Здравствуйте, есть ли у вас в прокате легкий аккумуляторный триммер для женщины, чтобы справиться одной'  
'Добрый вечер, интересует аренда триммера без проводов, нужно подстричь траву вдоль забора'  
'Здравствуйте, сколько стоит взять триммер на аккумуляторе на сутки, нужно убрать сорняки на стройплощадке'  
'Привет, есть ли у вас мощный аккумуляторный триммер для жесткой травы, нужен на 3 дня'  
'Добрый день, подскажите стоимость аренды триммера без шнура, чтобы обработать небольшой участок'  
'Здравствуйте, нужен триммер на батарее для покоса вокруг деревьев в саду, какие модели есть'  
'Привет, можно ли сегодня взять в аренду аккумуляторный триммер, нужно срочно подровнять газон'"
1307,вышка тура,"'Здравствуйте, нужна вышка-тура для покраски фасада на два дня, какие у вас есть варианты'"
1308,вышка тура,"  
'Добрый день, интересует аренда вышки-туры на неделю для ремонта потолков в офисе'"
1309,вышка тура,"  
'Привет, есть ли у вас в наличии вышка-тура высотой около 4 метров, нужно на выходные'"
1310,вышка тура,"  
'Здравствуйте, сколько стоит взять вышку-туру на сутки для монтажа кондиционера'"
1311,вышка тура,"  
'Добрый вечер, подскажите, можно ли сегодня забрать вышку-туру для ремонта крыши дачи'"
1312,вышка тура,"  
'Здравствуйте, нужна вышка-тура для сборки каркаса теплицы, какие условия аренды'"
1313,вышка тура,"  
'Привет, есть ли у вас вышки-туры с колесами, чтобы можно было передвигать по участку'"
1314,вышка тура,"  
'Добрый день, интересует аренда вышки-туры на 3 дня для монтажа рекламного баннера'"
1315,вышка тура,"  
'Здравствуйте, сколько стоит вышка-тура на неделю для отделки стен в новостройке'"
1316,вышка тура,"  
'Добрый вечер, можно ли взять вышку-туру на завтра для демонтажа старой люстры в зале'"
1317,моющий пылесос,"'Привет, нужен моющий пылесос на выходные, чтобы отмыть квартиру после ремонта',  
'Здравствуйте, сколько стоит аренда моющего пылесоса на сутки? Нужно почистить ковры',  
'Добрый день, интересует прокат моющего пылесоса для уборки после затопления',  
'Есть ли у вас в аренду моющий пылесос? Нужно вымыть полы в доме после зимы',  
'Здравствуйте, подскажите стоимость аренды моющего пылесоса на 2 дня для химчистки дивана',  
'Добрый вечер, можно ли взять моющий пылесос на сегодня до вечера?',  
'Нужен моющий пылесос для уборки офиса, какие у вас условия аренды?',  
'Здравствуйте, сколько стоит взять моющий пылесос на неделю? Нужно привести в порядок дачу',  
'Добрый день, есть ли у вас моющие пылесосы с парогенератором в аренду?',  
'Привет, ищу моющий пылесос в прокат, чтобы отмыть машину после стройки'"
1318,тачка,"'Привет, нужна тачка на выходные, чтобы землю перекидать на даче, сколько стоит аренда'"
1319,тачка,"  
'Здравствуйте, есть ли у вас в прокате строительная тачка, нужно на пару дней для ремонта'"
1320,тачка,"  
'Добрый день, подскажите стоимость аренды тачки на сутки, надо мусор вывезти со стройки'"
1321,тачка,"  
'Здравствуйте, ищу тачку для перевозки песка, есть у вас такие в аренде'"
1322,тачка,"  
'Привет, сколько стоит взять тачку на день, нужно кирпичи разгрузить'"
1323,тачка,"  
'Добрый вечер, нужна крепкая тачка для земляных работ, какие у вас условия аренды'"
1324,тачка,"  
'Здравствуйте, можно ли сегодня забрать тачку, надо щебень раскидать'"
1325,тачка,"  
'Добрый день, интересует аренда тачки на неделю, какая цена и нужен ли залог'"
1326,тачка,"  
'Привет, есть ли у вас тачки с металлическим кузовом, нужно для стройки'"
1327,тачка,"  
'Здравствуйте, сколько стоит взять тачку на пару часов, надо мешки с цементом перевезти'"
1328,дрель магнитная,"'Здравствуйте, нужна магнитная дрель для сверления металлоконструкций, сколько стоит аренда на день?'"
1329,дрель магнитная," 'Добрый день, подскажите, есть ли у вас в прокате магнитная дрель для работы с металлом?'"
1330,дрель магнитная," 'Здравствуйте, сколько будет стоить аренда магнитной дрели на 3 дня?'"
1331,дрель магнитная," 'Привет, нужна магнитная дрель для монтажа вентиляции, есть у вас?'"
1332,дрель магнитная," 'Добрый вечер, можно ли арендовать магнитную дрель на завтра с утра?'"
1333,дрель магнитная," 'Здравствуйте, интересует магнитная дрель для сверления отверстий в балках, какие условия аренды?'"
1334,дрель магнитная," 'Добрый день, нужна магнитная дрель для работы на высоте, есть ли у вас в наличии?'"
1335,дрель магнитная," 'Здравствуйте, подскажите стоимость аренды магнитной дрели на сутки, пожалуйста'"
1336,дрель магнитная," 'Привет, ищу магнитную дрель для сверления металла, есть у вас в прокате?'"
1337,дрель магнитная," 'Добрый день, можно ли взять магнитную дрель в аренду сегодня на несколько часов?'"
1338,осушитель воздуха,"'Здравствуйте, нужен осушитель воздуха для квартиры после затопления, есть у вас?'"
1339,осушитель воздуха," 'Добрый день, подскажите стоимость аренды осушителя воздуха на неделю'"
1340,осушитель воздуха," 'Здравствуйте, у вас можно взять осушитель воздуха для ремонта ванной?'"
1341,осушитель воздуха," 'Привет, нужен осушитель воздуха на пару дней, сколько стоит?'"
1342,осушитель воздуха," 'Добрый вечер, ищу осушитель воздуха для дачи, есть в наличии?'"
1343,осушитель воздуха," 'Здравствуйте, сколько будет стоить аренда осушителя воздуха на сутки?'"
1344,осушитель воздуха," 'Добрый день, нужен осушитель воздуха для просушки стен после штукатурки, есть такой?'"
1345,осушитель воздуха," 'Привет, можно арендовать осушитель воздуха на сегодня?'"
1346,осушитель воздуха," 'Здравствуйте, подскажите, есть ли осушитель воздуха в аренду на выходные?'"
1347,осушитель воздуха," 'Добрый день, нужен осушитель воздуха для гаража, сколько стоит аренда?'"
1348,бензопила,"'Добрый день, нужна бензопила для спила дерева на участке, подскажите стоимость аренды на день'"
1349,бензопила," 'Здравствуйте, сколько стоит взять бензопилу в аренду на выходные?'"
1350,бензопила," 'Добрый вечер, есть ли у вас бензопила в прокате? Нужна на сутки'"
1351,бензопила," 'Привет, нужна бензопила для распиловки дров, какие у вас условия аренды?'"
1352,бензопила," 'Здравствуйте, подскажите, можно ли арендовать бензопилу сегодня на пару часов?'"
1353,бензопила," 'Добрый день, сколько стоит аренда бензопилы и нужен ли залог?'"
1354,бензопила," 'Здравствуйте, нужна бензопила для работы на даче, есть ли у вас в наличии?'"
1355,бензопила," 'Привет, хочу взять бензопилу на день, подскажите стоимость и условия'"
1356,бензопила," 'Добрый день, планирую спилить несколько деревьев, есть ли бензопила в аренду?'"
1357,бензопила," 'Здравствуйте, сколько стоит аренда бензопилы на неделю и какие документы нужны?'"
1358,прогрев бетона,"'Здравствуйте, нужен аппарат для прогрева бетона на сутки, сколько будет стоить?', 'Добрый день, подскажите, есть ли у вас оборудование для прогрева бетона в аренду?', 'Здравствуйте, нужно прогреть бетон на участке, есть ли у вас такое оборудование?', 'Привет, нужен прогрев бетона для заливки фундамента, какие у вас условия аренды?', 'Здравствуйте, сколько стоит аренда оборудования для прогрева бетона на выходные?', 'Добрый день, ищу аппарат для прогрева бетона, есть ли у вас в наличии?', 'Здравствуйте, нужно взять в аренду оборудование для прогрева бетона на два дня, сколько будет стоить?', 'Добрый вечер, подскажите, есть ли у вас приборы для прогрева бетона и сколько стоит аренда?', 'Здравствуйте, нужен прогрев бетона для небольшого участка, есть ли у вас подходящее оборудование?', 'Добрый день, интересует аренда оборудования для прогрева бетона на сутки, какие условия?'"
1359,пила ленточная,"'Привет, нужна ленточная пила для распила досок на даче, есть в наличии?'"
1360,пила ленточная,"  
'Здравствуйте, сколько стоит аренда ленточной пилы на сутки?'"
1361,пила ленточная,"  
'Добрый день, ищу ленточную пилу для резки металла, у вас такое есть?'"
1362,пила ленточная,"  
'Здравствуйте, можно взять ленточную пилу на выходные для ремонта?'"
1363,пила ленточная,"  
'Есть ли у вас ленточная пила для работы с деревом? Нужна на пару дней'"
1364,пила ленточная,"  
'Добрый вечер, хочу арендовать ленточную пилу, какие условия?'"
1365,пила ленточная,"  
'Здравствуйте, нужна ленточная пила для распила бруса, сколько стоит?'"
1366,пила ленточная,"  
'Можно ли сегодня забрать ленточную пилу на пару часов?'"
1367,пила ленточная,"  
'Добрый день, интересует аренда ленточной пилы для мастерской, какие варианты?'"
1368,пила ленточная,"  
'Здравствуйте, есть ли у вас мощная ленточная пила для резки толстого дерева?'"
